slug,ats,career_url,hq_country
lighthouse-labs,greenhouse,https://boards.greenhouse.io/lighthouse,Canada
lightico,other,https://www.twinkl.com/careers,
lightricks,greenhouse,https://boards.greenhouse.io/lightricks,
lightspeed-commerce,ashby,https://jobs.ashbyhq.com/lightspeedhq,Canada
lilium,unknown,,Germany
limeade,other,https://www.riotgames.com/en,US
limelight,unknown,,US
lingoace,smartrecruiters,https://careers.smartrecruiters.com/lingoace,
linkedin,greenhouse,https://boards.greenhouse.io/linkedin,US
linkfire,smartrecruiters,https://careers.smartrecruiters.com/linkfire,Denmark
linksquares,other,https://linksquares.com/,US
linktree,gem,https://jobs.gem.com/linktree,
liongard,smartrecruiters,https://careers.smartrecruiters.com/liongard,US
liv-up,unknown,https://www.livrestaurant.ca/,
liveperson,greenhouse,https://boards.greenhouse.io/liveperson,US
liveramp,smartrecruiters,https://careers.smartrecruiters.com/liveramp,US
livetiles,unknown,https://www.xvideos.es/,
livevox,smartrecruiters,https://careers.smartrecruiters.com/livevox,US
livspace,unknown,http://949thesurf.com/,
localize,unknown,https://web.whatsapp.com/,US
loco,unknown,,
locomation,other,https://careers.microsoft.com/v2/global/en/home.html,US
loft,ashby,https://jobs.ashbyhq.com/loft,
loftium,other,https://www.applebees.com/en/restaurant-jobs,US
loftsmart,unknown,https://www.raginpagin.com/promotions/raggio-glen/2004-louisiana-football-schedule.csv,
log-9-materials,other,https://www.gemini.com/,
loggi,unknown,https://stores.jacobsbaits.com/,
logically,lever,https://jobs.lever.co/logically,UK
logitech,other,https://www.logitechg.com/en-us/software/ghub,Switzerland
loja-integrada,unknown,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmyaccount.google.com%2Fgeneral-light&dsh=S1863721365%3A1785536021742789&followup=https%3A%2F%2Fmyaccount.google.com%2Fgeneral-light&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=Ac50bxunEMkq4C7bT8R-49etXC3bcCm3bh7rS2XEiTOkcFKbduzwv3oxbCYIFF_a-W9Ko4dQ4VvAPw,
lola,other,https://www.lolasalon.ca/,US
longi,other,https://www.saisirprudhommes.com/,
loom,ashby,https://jobs.ashbyhq.com/loom,US
loopme,smartrecruiters,https://careers.smartrecruiters.com/loopme,UK
lora-dicarlo,other,https://lora-alliance.org/,US
lordstown-motors,other,https://careers.microsoft.com/v2/global/en/home.html,US
lsports,unknown,,
lucid-diagnostics,unknown,,US
lucid-motors,greenhouse,https://boards.greenhouse.io/lucidmotors,US
lucid-software,greenhouse,https://boards.greenhouse.io/lucidsoftware,US
lucira-health,unknown,,US
ludeo,unknown,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmyaccount.google.com%2Fgeneral-light&dsh=S-1205204858%3A1785536033404470&followup=https%3A%2F%2Fmyaccount.google.com%2Fgeneral-light&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=Ac50bxsTb2v38226ZKO3DLL5Lftp5VpzIRD4w7ub-tFwEvSCRuAJ-3kw4B9rlURmrlIsrGaTkQa0xw,
ludia,other,https://www.nytco.com/careers/,Canada
lululemon-studio,smartrecruiters,https://careers.smartrecruiters.com/lululemon,Canada
lumenad,other,https://about.youtube/,
lumina-networks,smartrecruiters,https://careers.smartrecruiters.com/lumina,US
luminar,other,https://www.wetteronline.de/careers,US
lummo,other,https://support.google.com/googlecareers/?visit_id=639211328388919656-2717215131&rd=1,
lunchbox,smartrecruiters,https://careers.smartrecruiters.com/lunchbox,US
lunchtime,other,https://www.builtinseattle.com/jobs/dev-engineering,
luno,greenhouse,https://boards.greenhouse.io/luno,UK
lunya,unknown,https://scamchecker.app/,US
lusha,unknown,,
luxury-presence,lever,https://jobs.lever.co/luxurypresence,US
lyra-health,lever,https://jobs.lever.co/lyrahealth,US
lyric,ashby,https://jobs.ashbyhq.com/lyric,US
lyst,smartrecruiters,https://careers.smartrecruiters.com/lyst,UK
lytics,smartrecruiters,https://careers.smartrecruiters.com/lytics,US
m1,recruitee,https://m1.recruitee.com,US
made-com,unknown,https://www.made.com/,UK
made-renovation,unknown,https://www.made.com/,US
madefire,unknown,https://poki.com/,US
madeiramadeira,unknown,,
magic-eden,ashby,https://jobs.ashbyhq.com/magiceden,US
magic-leap,greenhouse,https://boards.greenhouse.io/magicleap,US
magicbricks,unknown,,
magnite,smartrecruiters,https://careers.smartrecruiters.com/magnite,US
mainstreet,smartrecruiters,https://careers.smartrecruiters.com/mainstreet,US
